userId,productId,rating,comment
20501422,138934620,5,"Nhà báo Trương Anh Ngọc viết trong lời giới thiệu:

“Sách rất dày, nhưng đọc vô cùng cuốn hút, không phải bởi tác giả đã viết rất duyên, mà còn vì con sông vĩ đại nhất thế giới ấy có biết bao câu chuyện để kể, và khi độc giả đã ôm lấy cuốn sách rồi, sẽ không muốn buông xuống nữa, vì dường như họ đang thấy lịch sử các vùng đất, các dân tộc, các sự kiện kéo dài mấy nghìn năm như một thước phim quay chậm trước mặt họ”. Đọc những lời mở đầu đó, tôi vừa tò mò và vô cùng hứng khởi để khám phá về Red Nile.
.

Lật giở từng trang sách, ta đắm chìm vào câu chuyện về con sông kì vĩ không chỉ về mặt tự nhiên mà còn cả những câu chuyện lịch sử đôi bờ nước chảy.

Trước tiên, hãy cùng Robert Twigger, lướt qua mặt nước sông, tìm về khởi nguồn sông Nile, qua hồ rộng, thác cao, qua đầm lầy Sudd rộng lớn rồi đến hồ No, đi thêm đoạn nữa ta sẽ bắt gặp nơi Nile trắng già cỗi gặp Nile xanh dữ dội và hợp thành Nile đỏ. Từ đây, con sông được hợp nhất. Uốn lượn qua những kim tự tháp lớn nhỏ của các Phraol đen, băng qua đập Aswan, qua đền Luxor diễm lệ rồi tiến vào thủ đô Cairo của Ai cập. Những toà nhà, những công trình mọc lên hai bờ sông, Nile tiếp tục vượt qua đập nước đầu tiên bắc ngang qua nó, Đập Delta, rồi dần dần tiến ra biển. 

Theo dòng nước, ta còn được lắng nghe những câu chuyện về thảm thực vật trù phú, về những kẻ cư dân nguy hiểm như khỉ đầu cho, hà mã, cá sấu và cả những vị thần dựa trên những con vật này. Ta được nghe kể những nỗ lực của con người trong việc chuyển hướng dòng sông, xây dựng đập nước để đảm bảo nước tưới tiêu quanh năm cho đôi bờ. Nhưng, thiên nhiên luôn khắc nghiệt và con người chẳng thể lường trước được mọi việc. Chính việc xây đập nước đã tạo môi trường thuận lợi cho muỗi, ốc sên… sinh sôi, truyền thêm bệnh dịch cho con người. Bên cạnh đó, sông Nile - con sông duy nhất chảy qua sa mạc Sahara vẫn như bao con sông khác. Khi đối mặt với cái nóng thiêu đốt, với gió mạnh cũng bị bốc hơi. Từ khi đập Aswan được xây dựng, những đợt lũ hàng năm không ồ ạt hung hãn tràn về xả bớt muối. Vậy là tấm áo ướt mồ hôi ấy không bao giờ được giặt và các dòng kênh phụ càng mặn hơn.

Cũng chính con sông ấy đã ban tặng cho vùng đất nơi nó chảy qua một món quà quý giá- giấy cói- nó đã giúp cho việc sử dụng chữ viết của con người trở nên riêng tư, hiệu quả và dễ vận chuyển hơn. Các mệnh lệnh và chỉ thị viết trên giấy cũng giúp con người cùng lúc dễ kiểm soát được nhiều hơn một thành phố. Thế rồi nhà nước đầu tiên do Ai Cập cổ đại định hình và giấy cói đóng một vai trò quan trọng. Cũng từ đó, lần theo dòng chảy của lịch sử, tác giả đã kể cho ta nghe những mẩu chuyện về các vị thần Ai Cập cổ xưa, về tình yêu và lòng thù địch, về kim tự tháp và những vị Pharon đầu tiên. Ta còn được nghe đến câu chuyện gay cấn về tai hoạ thắm đỏ, thích thú khám phá cuộc đời đầy thăng trầm và cũng lắm tai tiếng của vị Pharaon cuối cùng Cleopartra hay biết đến những người con kiệt xuất của Ai Cập cổ đại.

Màu đỏ của sông Nile chứa phù sa làm cho đất nước đôi bờ  trù phú và thịnh vượng, màu đỏ máu của những vị vua, những con người lưu lạc đến vùng đất này, màu đỏ của cả những tai hoạ đã góp phần làm nên thay đổi lịch sử của quốc gia nơi con sông uốn lượn chảy qua.

Có người đến và có những người đi, có câu chuyện của những kẻ xâm lấn và những công trình còn để lại, có những con đập minh chứng cho nỗ lực của con người trong việc điều tiết chuyển hướng dòng sông, có cả máu và nước mắt đã chảy trên Nile kì vĩ. Con sông chưa bao giờ ngừng biến đổi nhưng Nile vẫn luôn là nó, có lúc ồn ào và mạnh mẽ, đôi khi lặng lẽ chứng kiến bao đổi thay đến tận bây giờ.

Cuốn sách dài nhưng không hề khiến cho độc giả mỏi mệt bởi cách viết lôi cuốn, hấp dẫn về một chủ để mang tên tiểu sử.Robert Twigger đã làm cho một kẻ gà mờ về tự nhiên và lịch sử như mình vừa đọc vừa trầm trồ thán phục về câu chuyện của Nile."
5928855,138934620,5,"Bên shop bán cuốn này thì hợp lý, nhưng Phi Châu thì hơi cao. Nói chung sách chuẩn đẹp, đóng gói cẩn thận, đọc và sưu tầm"
1715449,138934620,5,"Mua ngay đợt giảm giá mã Tiki 50k + mã Alphabooks 50k. Sách nhà Omega Plus thì luôn khủng về cả hình thức lẫn nội dung, vừa đọc vừa nghiền ngẫm chắc cũng khá lâu nhưng lướt qua nội dung thì thấy rất hấp dẫn về châu Phi - cái nôi của văn minh nhân loại. Mình cực thích những cuốn sách chuyên đề như thế này, cũng sở hữu kha khá đầu sách Omega Plus rồi. Thank all!"
9813362,138934620,5,"Sách làm rất đẹp, giá tốt."
19999530,138934620,5,
26695278,138934620,5,
12317292,138934620,5,"Tuyệt vời về chất lượng sách, shiper tử tế, vui vẻ, giao hàng nhanh."
26467158,138934620,5,"Sách rất đẹp, nhân viên giao hàng tốt, sẽ ủng hộ shop."
19051,138934620,5,Sách được bọc trong bao nên tránh bị lấm bẩn. Tiki đóng gói cẩn thận nên không bị cấn gãy góc. Giao hàng nhanh.
2191358,138934620,5,"Sách được bọc cẩn thận và giao rất nhanh.
Chưa bao giờ phải thất vọng về Tiki Trading."
